iter	Passed	Remaining
0	22	11068
1	39	9948
2	57	9518
3	74	9287
4	93	9234
5	112	9225
6	129	9127
7	146	9003
8	163	8943
9	183	9001
10	203	9032
11	218	8887
12	236	8843
13	254	8829
14	270	8756
15	288	8740
16	306	8720
17	325	8728
18	342	8672
19	358	8600
20	376	8590
21	392	8535
22	412	8548
23	427	8483
24	446	8488
25	463	8451
26	482	8446
27	500	8440
28	517	8408
29	535	8385
30	552	8359
31	568	8313
32	585	8291
33	603	8270
34	622	8264
35	639	8245
36	658	8246
37	678	8245
38	695	8219
39	713	8209
40	731	8193
41	750	8187
42	770	8189
43	788	8173
44	806	8155
45	825	8142
46	844	8136
47	861	8114
48	879	8098
49	898	8082
50	918	8082
51	935	8059
52	953	8043
53	974	8052
54	995	8056
55	1015	8052
56	1033	8031
57	1051	8010
58	1069	7994
59	1088	7981
60	1108	7975
61	1127	7962
62	1146	7951
63	1165	7937
64	1184	7927
65	1202	7909
66	1220	7890
67	1240	7881
68	1258	7858
69	1276	7842
70	1294	7822
71	1312	7802
72	1329	7778
73	1350	7775
74	1367	7749
75	1386	7737
76	1407	7734
77	1424	7707
78	1443	7690
79	1462	7680
80	1483	7672
81	1504	7668
82	1522	7650
83	1544	7648
84	1564	7638
85	1586	7635
86	1609	7638
87	1630	7631
88	1647	7607
89	1666	7590
90	1687	7583
91	1705	7561
92	1724	7546
93	1742	7526
94	1762	7513
95	1783	7507
96	1805	7499
97	1822	7477
98	1840	7456
99	1862	7450
100	1881	7434
101	1902	7422
102	1924	7416
103	1945	7406
104	1967	7400
105	1989	7393
106	2010	7385
107	2031	7373
108	2050	7355
109	2069	7338
110	2091	7330
111	2113	7321
112	2131	7299
113	2152	7286
114	2171	7270
115	2191	7255
116	2211	7240
117	2229	7218
118	2249	7202
119	2266	7176
120	2285	7158
121	2304	7139
122	2323	7123
123	2345	7112
124	2364	7094
125	2385	7081
126	2405	7063
127	2422	7039
128	2441	7020
129	2458	6996
130	2478	6982
131	2498	6966
132	2516	6943
133	2534	6921
134	2552	6902
135	2570	6878
136	2589	6861
137	2611	6849
138	2628	6825
139	2648	6811
140	2668	6793
141	2686	6773
142	2707	6758
143	2728	6744
144	2749	6730
145	2768	6711
146	2788	6696
147	2809	6682
148	2826	6659
149	2847	6643
150	2866	6625
151	2883	6601
152	2899	6576
153	2916	6552
154	2935	6534
155	2953	6513
156	2975	6499
157	2997	6487
158	3016	6468
159	3038	6457
160	3060	6443
161	3082	6431
162	3098	6407
163	3118	6389
164	3135	6365
165	3156	6350
166	3178	6337
167	3196	6316
168	3216	6300
169	3236	6282
170	3253	6260
171	3273	6242
172	3293	6224
173	3311	6203
174	3328	6181
175	3350	6167
176	3368	6146
177	3389	6131
178	3408	6112
179	3426	6091
180	3448	6076
181	3469	6061
182	3489	6044
183	3513	6033
184	3522	5997
185	3539	5974
186	3560	5959
187	3577	5937
188	3596	5917
189	3613	5895
190	3630	5873
191	3651	5858
192	3671	5840
193	3687	5816
194	3707	5798
195	3725	5778
196	3747	5763
197	3767	5747
198	3784	5723
199	3804	5706
200	3824	5689
201	3843	5670
202	3861	5649
203	3880	5630
204	3901	5614
205	3918	5592
206	3936	5572
207	3954	5551
208	3970	5528
209	3986	5505
210	4004	5484
211	4020	5461
212	4043	5448
213	4056	5421
214	4076	5403
215	4094	5383
216	4113	5364
217	4133	5347
218	4154	5330
219	4174	5313
220	4192	5292
221	4209	5271
222	4227	5250
223	4244	5229
224	4262	5209
225	4278	5187
226	4298	5169
227	4319	5152
228	4337	5132
229	4354	5111
230	4371	5090
231	4390	5071
232	4407	5051
233	4427	5033
234	4446	5013
235	4463	4993
236	4484	4976
237	4504	4958
238	4521	4937
239	4537	4916
240	4557	4897
241	4577	4880
242	4596	4861
243	4614	4841
244	4632	4821
245	4649	4801
246	4671	4784
247	4692	4768
248	4710	4748
249	4727	4727
250	4744	4707
251	4767	4691
252	4783	4670
253	4804	4652
254	4823	4634
255	4844	4617
256	4863	4598
257	4885	4582
258	4905	4564
259	4926	4547
260	4942	4526
261	4958	4504
262	4976	4484
263	4996	4466
264	5015	4447
265	5031	4425
266	5050	4407
267	5071	4390
268	5089	4370
269	5109	4352
270	5130	4335
271	5150	4317
272	5167	4297
273	5189	4280
274	5205	4259
275	5224	4240
276	5241	4220
277	5263	4203
278	5280	4182
279	5297	4162
280	5314	4142
281	5332	4122
282	5351	4103
283	5373	4086
284	5395	4070
285	5417	4053
286	5438	4035
287	5456	4016
288	5475	3997
289	5496	3980
290	5518	3963
291	5540	3946
292	5559	3927
293	5580	3910
294	5601	3892
295	5621	3873
296	5641	3855
297	5661	3837
298	5681	3819
299	5701	3801
300	5718	3780
301	5739	3762
302	5760	3745
303	5777	3725
304	5799	3708
305	5819	3689
306	5839	3671
307	5859	3652
308	5880	3634
309	5899	3615
310	5919	3597
311	5938	3578
312	5959	3560
313	5979	3541
314	6001	3524
315	6023	3507
316	6044	3489
317	6063	3470
318	6082	3451
319	6101	3432
320	6121	3413
321	6141	3395
322	6162	3376
323	6183	3358
324	6201	3339
325	6221	3320
326	6242	3302
327	6260	3283
328	6282	3265
329	6301	3246
330	6321	3227
331	6339	3207
332	6357	3188
333	6376	3169
334	6397	3151
335	6417	3132
336	6435	3112
337	6457	3095
338	6475	3075
339	6493	3055
340	6516	3038
341	6537	3020
342	6558	3002
343	6580	2984
344	6599	2965
345	6621	2947
346	6640	2928
347	6661	2909
348	6681	2890
349	6702	2872
350	6723	2853
351	6743	2835
352	6764	2816
353	6785	2798
354	6806	2780
355	6824	2760
356	6844	2741
357	6865	2723
358	6886	2704
359	6908	2686
360	6927	2667
361	6948	2648
362	6970	2630
363	6994	2613
364	7017	2595
365	7038	2576
366	7059	2558
367	7080	2539
368	7101	2521
369	7124	2503
370	7147	2485
371	7165	2465
372	7187	2447
373	7208	2428
374	7228	2409
375	7251	2391
376	7271	2372
377	7291	2353
378	7312	2334
379	7331	2315
380	7352	2296
381	7373	2277
382	7394	2258
383	7413	2239
384	7431	2219
385	7452	2200
386	7473	2182
387	7494	2163
388	7515	2144
389	7533	2124
390	7554	2106
391	7573	2086
392	7593	2067
393	7613	2048
394	7635	2029
395	7654	2010
396	7672	1990
397	7692	1971
398	7713	1952
399	7734	1933
400	7754	1914
401	7777	1895
402	7796	1876
403	7817	1857
404	7836	1838
405	7856	1818
406	7876	1799
407	7895	1780
408	7918	1761
409	7939	1742
410	7959	1723
411	7980	1704
412	8000	1685
413	8018	1665
414	8039	1646
415	8060	1627
416	8081	1608
417	8104	1589
418	8123	1570
419	8143	1551
420	8161	1531
421	8181	1512
422	8200	1492
423	8221	1473
424	8241	1454
425	8262	1435
426	8280	1415
427	8299	1396
428	8320	1377
429	8341	1357
430	8362	1338
431	8383	1319
432	8404	1300
433	8425	1281
434	8446	1262
435	8468	1243
436	8490	1224
437	8512	1204
438	8532	1185
439	8554	1166
440	8576	1147
441	8595	1127
442	8616	1108
443	8638	1089
444	8659	1070
445	8680	1051
446	8700	1031
447	8716	1011
448	8737	992
449	8758	973
450	8777	953
451	8798	934
452	8817	914
453	8838	895
454	8860	876
455	8882	857
456	8902	837
457	8922	818
458	8943	798
459	8966	779
460	8989	760
461	9012	741
462	9036	722
463	9060	702
464	9078	683
465	9098	663
466	9120	644
467	9140	624
468	9161	605
469	9184	586
470	9206	566
471	9229	547
472	9248	527
473	9270	508
474	9288	488
475	9309	469
476	9332	449
477	9356	430
478	9378	411
479	9400	391
480	9423	372
481	9446	352
482	9465	333
483	9488	313
484	9511	294
485	9529	274
486	9553	255
487	9575	235
488	9597	215
489	9619	196
490	9640	176
491	9661	157
492	9681	137
493	9703	117
494	9725	98
495	9746	78
496	9768	58
497	9788	39
498	9809	19
499	9828	0
